Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2024-01-05,Wake Me Up When September Ends,American Idiot,Green Day,28,28,1
2024-01-05,American Idiot,American Idiot,Green Day,39,34,6
2024-01-05,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,4,4,1
2024-01-05,Basket Case,Dookie,Green Day,40,36,2
2024-01-05,When I Grow Up,Doll Domination (Deluxe),The Pussycat Dolls,2,2,1
2024-01-05,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,1,1,1
2024-01-05,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,3,3,1
2024-01-05,Bon Appétit,Witness (Deluxe),Katy Perry,2,2,1
2024-01-05,Chained to the Rhythm,Witness (Deluxe),Katy Perry,2,2,1
2024-01-05,Swish Swish,Witness (Deluxe),Katy Perry,2,2,1
2024-01-05,Hey Jude - Remastered 2015,1 (Remastered),The Beatles,2,2,1
2024-01-05,21 Guns,21st Century Breakdown,Green Day,13,12,2
2024-01-05,Emotions,Emotions,Mariah Carey,1,1,1
2024-01-05,Sweet Child o' Mine,Appetite for Destruction,Guns N' Roses,2,2,1
2024-01-05,Dreamlover,Music Box,Mariah Carey,2,2,1
2024-01-05,Complicated,Let Go,Avril Lavigne,3,3,1
2024-01-05,Make Your Own Kind of Music,Mama's Big Ones,Cass Elliot,7,7,1
2024-01-05,My Happy Ending,Under My Skin,Avril Lavigne,3,3,1
2024-01-05,Hung Up,Confessions on a Dance Floor,Madonna,2,2,1
2024-01-05,Behind These Hazel Eyes,Breakaway,Kelly Clarkson,4,4,1
2024-01-05,We Belong Together,The Emancipation of Mimi,Mariah Carey,1,1,1
2024-01-05,I'm with You,Let Go,Avril Lavigne,3,3,1
2024-01-05,Breakaway,Breakaway,Kelly Clarkson,9,9,1
2024-01-05,Bye Bye Bye,No Strings Attached,*NSYNC,5,5,1
2024-01-05,Nobody's Home,Under My Skin,Avril Lavigne,3,3,1
2024-01-05,Hey Ya!,Speakerboxxx/The Love Below,OutKast,2,2,1
2024-01-05,Touch My Body,E=MC2,Mariah Carey,2,2,1
2024-01-05,Hollaback Girl,Love Angel Music Baby,Gwen Stefani,3,3,1
2024-01-05,Irreplaceable,B'Day,Beyoncé,3,3,1
2024-01-05,Here Comes the Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,6,6,1
2024-01-05,It's Gonna Be Me,No Strings Attached,*NSYNC,4,4,1
2024-01-05,You Spin Me Round (Like a Record),Evolution: The Hits,Dead or Alive,1,1,1
2024-01-05,Uptown Girl,Coast to Coast (Expanded Edition),Westlife,9,8,2
2024-01-05,#Beautiful,Me. I Am Mariah…The Elusive Chanteuse,Mariah Carey,2,2,1
2024-01-05,Lips of an Angel,Extreme Behavior,Hinder,2,2,1
2024-01-05,Vision of Love,Mariah Carey,Mariah Carey,6,6,1
2024-01-05,Sometimes,...Baby One More Time (Digital Deluxe Version),Britney Spears,3,3,1
2024-01-05,Pon de Replay,Music of the Sun,Rihanna,2,2,1
2024-01-05,Stickwitu,PCD,The Pussycat Dolls,3,3,1
2024-01-05,Talking In Your Sleep (2023 Remaster),In Heat (2023 Remaster),The Romantics,6,6,1
2024-01-05,A Thousand Miles,Be Not Nobody,Vanessa Carlton,8,8,1
2024-01-05,Take on Me,Hunting High and Low,a-ha,10,8,3
2024-01-05,Holiday / Boulevard of Broken Dreams,American Idiot,Green Day,25,25,1
2024-01-05,The Ghost of You,Three Cheers for Sweet Revenge,My Chemical Romance,5,5,1
2024-01-05,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,My Chemical Romance,5,5,1
2024-01-05,Helena,Three Cheers for Sweet Revenge,My Chemical Romance,6,6,1
2024-01-05,Famous Last Words,The Black Parade,My Chemical Romance,21,21,1
2024-01-05,I Don't Love You,The Black Parade,My Chemical Romance,22,22,1
2024-01-05,Teenagers,The Black Parade,My Chemical Romance,29,29,1
2024-01-05,Dead!,The Black Parade,My Chemical Romance,24,24,1
2024-01-05,Welcome to the Black Parade,The Black Parade,My Chemical Romance,27,27,1
2024-01-05,Look Ma No Brains!,Look Ma No Brains!,Green Day,8,8,1
2024-01-05,The American Dream Is Killing Me,The American Dream Is Killing Me,Green Day,8,8,1
2024-01-05,Dilemma,Dilemma,Green Day,8,8,1
2024-01-05,One Eyed Bastard,One eyed Bastard,Green Day,8,7,2
2024-01-05,Hard Feelings/Loveless,Melodrama,Lorde,10,5,6
2024-01-05,Because of You,Breakaway,Kelly Clarkson,8,8,1
2024-01-05,She's So Mean,North (Deluxe Edition),Matchbox Twenty,5,5,1
2024-01-05,You’re Losing Me (From the Vault),You're Losing Me (From the Vault),Taylor Swift,4,4,1
2024-01-05,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],Taylor Swift,4,4,1
2024-01-05,Sweet Crazy Love (Eng Ver.),Sweet Crazy Love (Eng Ver.),ODD EYE CIRCLE (ARTMS),3,3,1
2024-01-05,Now That We Don't Talk (Taylor's Version) (From the Vault),1989 (Taylor's Version),Taylor Swift,6,6,1
2024-01-05,Midnight Rain,Midnights (3am Edition),Taylor Swift,4,4,1
2024-01-05,My Life Would Suck Without You,All I Ever Wanted,Kelly Clarkson,8,8,1
2024-01-05,burned out,Human,dodie,7,7,1
2024-01-05,Since U Been Gone,Breakaway,Kelly Clarkson,10,10,1
2024-01-05,Baddie,I'VE MINE,IVE,4,4,1
2024-01-05,Blank Space (Taylor's Version),1989 (Taylor's Version),Taylor Swift,8,8,1
2024-01-05,Style (Taylor's Version),1989 (Taylor's Version),Taylor Swift,9,9,1
2024-01-05,Arms Unfolding,Human,dodie,3,3,1
2024-01-05,Shake It Off (Taylor's Version),1989 (Taylor's Version),Taylor Swift,9,9,1
2024-01-05,Bang Bang,Revolution Radio,Green Day,1,1,1
2024-01-05,She,Dookie,Green Day,1,1,1
2024-01-05,Know Your Enemy,21st Century Breakdown,Green Day,1,1,1
2024-01-05,Cherry,Lust for Life,Lana Del Rey,1,1,1
2024-01-05,13 Beaches,Lust for Life,Lana Del Rey,1,1,1
2024-01-05,Lust for Life (with The Weeknd),Lust for Life,Lana Del Rey,1,1,1
2024-01-05,West Coast,Ultraviolence (Deluxe),Lana Del Rey,3,1,3
2024-01-05,SUMMER RENAISSANCE,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,PURE/HONEY,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,AMERICA HAS A PROBLEM,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,ALL UP IN YOUR MIND,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,THIQUE,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,HEATED,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,MOVE (feat. Grace Jones & Tems),RENAISSANCE,Beyoncé,1,1,1
2024-01-05,VIRGO'S GROOVE,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,PLASTIC OFF THE SOFA,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,CHURCH GIRL,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,BREAK MY SOUL,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,ENERGY (feat. BEAM),RENAISSANCE,Beyoncé,1,1,1
2024-01-05,CUFF IT,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,ALIEN SUPERSTAR,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,COZY,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,I'M THAT GIRL,RENAISSANCE,Beyoncé,1,1,1
2024-01-05,Is It Over Now? (Taylor's Version) (From the Vault),1989 (Taylor's Version),Taylor Swift,2,2,1
