Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2020-07-31,1,NEW,--,True,False,20,--,Hey Soul Sister,Train,Save Me San Francisco (Golden Gate Edition),2,2,2,10,6,4,100000,6000,200000,0.33,0.02,0.65,306000,20,0,0,1,1,1
2020-07-31,2,+10,12,True,False,20,1.0,Cruel Summer,Taylor Swift,Lover,2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,3,0,2,4,1
2020-07-31,3,RE,--,True,False,20,--,Punch,NCT 127,NCT #127 Neo Zone The Final Round – The 2nd Album Repackage,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,2,3,2,1
2020-07-31,4,NEW,--,True,False,18,--,Highway to Heaven - English Version,NCT 127,Highway to Heaven (English Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,4,1,1
2020-07-31,5,NEW,--,True,False,18,--,Right There,Ariana Grande,Yours Truly,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,5,1,1
2020-07-31,6,NEW,--,True,False,18,--,Oh My!,Seventeen,SEVENTEEN 5TH MINI ALBUM 'YOU MAKE MY DAY',2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,6,1,1
2020-07-31,7,NEW,--,True,False,18,--,Uma Thurman,Fall Out Boy,American Beauty/American Psycho,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,7,1,1
2020-07-31,8,NEW,--,True,False,18,--,dal segno,LOONA/yyxy,beauty&thebeat,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,8,1,1
2020-07-31,9,NEW,--,True,False,18,--,Dear Future Husband,Meghan Trainor,Title (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,9,1,1
2020-07-31,10,RE,--,False,False,18,--,NONSTOP,OH MY GIRL,NONSTOP,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,4,3,1
2020-07-31,11,NEW,--,True,False,18,--,Rookie,Red Velvet,Rookie - The 4th Mini Album,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,11,1,1
2020-07-31,12,NEW,--,True,False,18,--,Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris,Funk Wav Bounces Vol.1,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,12,1,1
2020-07-31,13,RE,--,False,False,18,--,Bad Liar,Selena Gomez,Bad Liar,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,2,2,1
2020-07-31,14,NEW,--,True,False,18,--,BUNGEE (Fall In Love),OH MY GIRL,OH MY GIRL SUMMER PACKAGE [FALL IN LOVE],2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,14,1,1
2020-07-31,15,NEW,--,True,False,18,--,Locked Away (feat. Adam Levine),Rock City,Locked Away (feat. Adam Levine),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,15,1,1
2020-07-31,16,NEW,--,True,False,18,--,Fever,GFRIEND,GFRIEND The 7th Mini Album `FEVER SEASON`,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,16,1,1
2020-07-31,17,NEW,--,True,False,18,--,365,Zedd,365,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,17,1,1
2020-07-31,18,RE,--,False,False,18,--,Your Gravity,UP10TION,The Moment of Illusion,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,10,2,1
2020-07-31,19,NEW,--,True,False,18,--,Black Magic,Little Mix,Get Weird (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,19,1,1
2020-07-31,20,NEW,--,True,False,18,--,Summertime Sadness,Lana Del Rey,Born to Die,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,20,1,1
2020-07-31,21,NEW,--,True,False,18,--,District 9,Stray Kids,I am NOT,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,21,1,1
2020-07-31,22,NEW,--,True,False,18,--,Liar Liar (Korean Version),OH MY GIRL,WINDY DAY,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,22,1,1
2020-07-31,23,RE,--,False,False,18,--,Hallucinate,Dua Lipa,Future Nostalgia,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,9,3,1
2020-07-31,24,NEW,--,True,False,18,--,Look,GOT7,Eyes on You,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,24,1,1
2020-07-31,25,NEW,--,True,False,18,--,Holy Ground,Taylor Swift,Red (Deluxe Edition),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,25,1,1
2020-07-31,26,NEW,--,True,False,17,--,The Man,Taylor Swift,Lover,2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,26,1,1
2020-07-31,27,NEW,--,True,False,17,--,London Boy,Taylor Swift,Lover,2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,27,1,1
2020-07-31,28,NEW,--,True,False,17,--,Very Very Very,I.O.I,miss me?,2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,28,1,1
2020-07-31,29,NEW,--,True,False,17,--,Castle on the Hill,Ed Sheeran,÷ (Deluxe),2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,29,1,1
2020-07-31,30,NEW,--,True,False,17,--,Stylish,Loona,[+ +],2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,30,1,1
2020-07-31,31,NEW,--,True,False,17,--,Best Song Ever,One Direction,Midnight Memories (Deluxe),2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,31,1,1
