Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2021-09-24,1,=,1,True,True,56,-0.23,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,22,0,1,2,2
2021-09-24,2,+7,9,True,False,35,1.19,Happier Than Ever,Billie Eilish,Happier Than Ever,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,5,4,2,3,1
2021-09-24,3,RE,--,True,False,34,--,Paper Rings,Taylor Swift,Lover,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,3,1,1
2021-09-24,4,+1,5,True,True,32,0.78,You Belong with Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,6,0,4,6,2
2021-09-24,5,+91,96,True,False,29,1.9,brutal,Olivia Rodrigo,SOUR,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,3,0,5,5,1
2021-09-24,6,+2,8,False,False,27,0.69,ghostin,Ariana Grande,thank u next,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,5,4,4,6,1
2021-09-24,7,RE,--,True,False,26,--,Getaway Car,Taylor Swift,Reputation,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,7,5,1
2021-09-24,8,RE,--,True,False,26,--,SAY YOU LOVE ME,TWICE,YES or YES,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,8,7,1
2021-09-24,9,+1,10,False,False,24,0.85,Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),2,2,2,10,6,4,100000,6000,200000,0.33,0.02,0.65,306000,20,4,0,1,14,2
2021-09-24,10,+3,13,True,False,24,0.85,Oxytocin,Billie Eilish,Happier Than Ever,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,4,2,10,3,1
2021-09-24,11,-5,6,False,False,24,0.33,jealousy jealousy,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,6,0,5,5,1
2021-09-24,12,RE,--,False,False,21,--,Dress,Taylor Swift,Reputation,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,3,2,9,1
2021-09-24,13,RE,--,True,False,21,--,Delicate,Taylor Swift,Reputation,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,3,13,4,1
2021-09-24,14,+78,92,False,False,21,1.1,deja vu,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,3,0,1,8,1
2021-09-24,15,RE,--,False,False,20,--,Touch,Little Mix,Glory Days (Expanded Edition),2,2,2,10,6,4,100000,6000,200000,0.33,0.02,0.65,306000,20,0,0,2,3,1
2021-09-24,16,RE,--,False,False,18,--,Dancing With Our Hands Tied,Taylor Swift,Reputation,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,13,2,1
2021-09-24,17,RE,--,False,False,18,--,King of My Heart,Taylor Swift,Reputation,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,14,2,1
2021-09-24,18,RE,--,True,False,18,--,love4eva (feat. Grimes),LOONA/yyxy,beauty&thebeat,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,18,2,1
2021-09-24,19,RE,--,True,False,18,--,Stupid Love,Lady Gaga,Stupid Love,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,19,3,1
2021-09-24,20,RE,--,True,False,18,--,London Boy,Taylor Swift,Lover,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,20,2,1
2021-09-24,21,RE,--,False,False,18,--,Miss Americana & the Heartbreak Prince,Taylor Swift,Lover,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,16,4,1
2021-09-24,22,RE,--,False,False,18,--,Cruel Summer,Taylor Swift,Lover,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,2,7,1
2021-09-24,23,RE,--,False,False,18,--,I Forgot That You Existed,Taylor Swift,Lover,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,8,3,1
2021-09-24,24,RE,--,False,False,18,--,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,1,9,1
2021-09-24,25,RE,--,True,False,18,--,Who Says,Selena Gomez & the Scene,When the Sun Goes Down,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,25,3,1
2021-09-24,26,RE,--,False,False,18,--,Mr. Perfectly Fine (Taylor’s Version) (From the Vault),Taylor Swift,Fearless (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,4,8,1
2021-09-24,27,NEW,--,True,False,18,--,just like magic,Ariana Grande,Positions,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,27,1,1
2021-09-24,28,RE,--,False,False,18,--,positions,Ariana Grande,Positions,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,6,3,1
2021-09-24,29,+19,48,False,False,13,0.3,Feel Special,TWICE,Feel Special,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,4,13,1
2021-09-24,30,+17,47,False,False,13,0.3,RAINBOW,TWICE,Feel Special,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,11,9,1
2021-09-24,31,+18,49,True,False,13,0.3,You Are in Love,Taylor Swift,1989 (Deluxe),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,31,6,1
2021-09-24,32,+62,94,False,False,13,0.3,drivers license,Olivia Rodrigo,SOUR,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,9,7,1
