Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2021-12-31,ivy,evermore,Taylor Swift,1,1,1
2021-12-31,coney island (feat. The National),evermore,Taylor Swift,1,1,1
2021-12-31,happiness,evermore,Taylor Swift,1,1,1
2021-12-31,tolerate it,evermore,Taylor Swift,1,1,1
2021-12-31,‘tis the damn season,evermore,Taylor Swift,1,1,1
2021-12-31,Teardrops on My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,2,2,1
2021-12-31,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,1,1,1
2021-12-31,Picture to Burn,Taylor Swift,Taylor Swift,1,1,1
2021-12-31,Tim McGraw,Taylor Swift,Taylor Swift,1,1,1
2021-12-31,Better Than Revenge,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Enchanted,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Never Grow Up,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,The Story of Us,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Mean,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Dear John,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Speak Now,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Back to December,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Sparks Fly,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,Mine - POP Mix,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-12-31,All Too Well (10 Minute Version) (Taylor's Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,The Very First Night (Taylor's Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Run (feat. Ed Sheeran) (Taylor’s Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Forever Winter (Taylor's Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Message in a Bottle (Taylor's Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Babe (Taylor's Version) (From the Vault),Red (Taylor's Version),Taylor Swift,2,2,1
